epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
0,,,,,71,203.11659240722656,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,20628.17578125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00657822098582983
,0.001,0.0001,0.01,0.001,72,,,,,,,,,,,,,,,,,,,
0,,,,,72,52.94403839111328,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,1401.53564453125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004936217330396175
,0.001,0.0001,0.01,0.001,73,,,,,,,,,,,,,,,,,,,
0,,,,,73,234.47947692871094,4.181127548217773,0.012546970508992672,0.0036839833483099937,8.740913391113281,27490.3125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004683449398726225
,0.001,0.0001,0.01,0.001,74,,,,,,,,,,,,,,,,,,,
0,,,,,74,234.822998046875,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,27570.921875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005881126504391432
,0.001,0.0001,0.01,0.001,75,,,,,,,,,,,,,,,,,,,
0,,,,,75,23.50295066833496,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,276.1943054199219,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005894414149224758
,0.001,0.0001,0.01,0.001,76,,,,,,,,,,,,,,,,,,,
0,,,,,76,176.3646697998047,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,15552.24609375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0046302564442157745
,0.001,0.0001,0.01,0.001,77,,,,,,,,,,,,,,,,,,,
0,,,,,77,276.6201477050781,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,38259.35546875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005736238788813353
,0.001,0.0001,0.01,0.001,78,,,,,,,,,,,,,,,,,,,
0,,,,,78,377.9361572265625,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,71417.8671875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00528552895411849
,0.001,0.0001,0.01,0.001,79,,,,,,,,,,,,,,,,,,,
0,,,,,79,235.99432373046875,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,27846.66015625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007314755581319332
,0.001,0.0001,0.01,0.001,80,,,,,,,,,,,,,,,,,,,
0,,,,,80,199.44345092773438,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,19888.845703125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0058050258085131645
,0.001,0.0001,0.01,0.001,81,,,,,,,,,,,,,,,,,,,
0,,,,,81,197.89047241210938,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,19580.318359375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005535869859158993
,0.001,0.0001,0.01,0.001,82,,,,,,,,,,,,,,,,,,,
0,,,,,82,38.468814849853516,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,739.9249267578125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005985754542052746
,0.001,0.0001,0.01,0.001,83,,,,,,,,,,,,,,,,,,,
0,,,,,83,285.14984130859375,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,40655.21875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006038022227585316
,0.001,0.0001,0.01,0.001,84,,,,,,,,,,,,,,,,,,,
0,,,,,84,9.135052680969238,7.867432117462158,0.012732850387692451,0.003842310979962349,30.948240280151367,41.72459411621094,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005448541603982449
,0.001,0.0001,0.01,0.001,85,,,,,,,,,,,,,,,,,,,
