epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,58,,,,,,,,,,,,,,,,,,,
0,,,,,58,134.53564453125,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,9049.9189453125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005152970086783171
,0.001,0.0001,0.01,0.001,59,,,,,,,,,,,,,,,,,,,
0,,,,,59,94.54437255859375,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,4469.3193359375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005541900172829628
,0.001,0.0001,0.01,0.001,60,,,,,,,,,,,,,,,,,,,
0,,,,,60,57.4070930480957,11.680562019348145,0.028072340413928032,0.009343307465314865,68.21776580810547,1647.787109375,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005693880841135979
,0.001,0.0001,0.01,0.001,61,,,,,,,,,,,,,,,,,,,
0,,,,,61,513.330322265625,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,131754.015625,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0069144368171691895
,0.001,0.0001,0.01,0.001,62,,,,,,,,,,,,,,,,,,,
0,,,,,62,401.0706481933594,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,80428.828125,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006894347257912159
,0.001,0.0001,0.01,0.001,63,,,,,,,,,,,,,,,,,,,
0,,,,,63,29.08829116821289,5.628644943237305,0.02763386443257332,0.009135277941823006,15.840821266174316,423.0643310546875,600.0,200.0,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00543789379298687
